Variable Name,Brief Description of Provision,Detailed Description of Provision,Coding Notes,Coding Instructions,Notes,Data Source and Attribution
dealer,State dealer license required for sale of all firearms,All firearm dealers are required to have a state license.,"State requires all persons engaged in the business of selling firearms to have a license, beyond the required federal license","If all firearm dealers are required to have a state license, then code dealer as a 1 and dealerh as a 1. Private sellers do not necessarily need a state license for this to be coded as a 1.",,"Coded by Michael Siegel, MD, MPH, Boston University School of Public Health, with funding from the Robert Wood Johnson Foundation, Evidence for Action: Investigator-Initiated Research to Build a Culture of Health program (grant #73337), using data derived from the Thomson Reuters Westlaw state legislative database."
dealerh,State dealer license required for sale of handguns,All firearm dealers that sell handguns are required to have a state license.,"State requires all persons engaged in the business of selling handguns to have a license, beyond the required federal license","If only dealers of handguns or handguns AND assault weapons are required to have a state license, then code dealer as 0 and dealerh as 1.",,"Coded by Michael Siegel, MD, MPH, Boston University School of Public Health, with funding from the Robert Wood Johnson Foundation, Evidence for Action: Investigator-Initiated Research to Build a Culture of Health program (grant #73337), using data derived from the Thomson Reuters Westlaw state legislative database."
recordsdealer,Licensed dealers are required to keep and retain records of all firearm sales,"Licensed dealers are required to keep and retain records of all firearm sales. These records must include (1) the name and address of the buyer and (2) the make, model, and type of firearm.","Recordkeeping refers to the recording of sales information that includes, at a minimum, the purchaser's name, contact information or identifying information, and the make and model of the gun. Federal law requires licensed dealers to keep sales records; to be coded as a 1, state must adopt its own recordkeeping requirements or codify the federal law.","If record keeping and retention is required only for licensed dealers, but for all firearm sales, then code recordsall and recordsallh as 0 and recordsdealer and recordsdealerh as 1.","Federal law requires licensed dealers to keep records of all sales. This provision codifies federal law into the state statutes, allowing state enforcement of the provision. Analysts may want to consider condensing the provisions in rows 4-11.","Coded by Michael Siegel, MD, MPH, Boston University School of Public Health, with funding from the Robert Wood Johnson Foundation, Evidence for Action: Investigator-Initiated Research to Build a Culture of Health program (grant #73337), using data derived from the Thomson Reuters Westlaw state legislative database."
recordsdealerh,Licensed dealers are required to keep and retain records of handgun sales,"Licensed dealers are required to keep and retain records of handgun sales. These records must include (1) the name and address of the buyer and (2) the make, model, and type of handgun.","Recordkeeping refers to the recording of sales information that includes, at a minimum, the purchaser's name, contact information or identifying information, and the make and model of the gun. Federal law requires licensed dealers to keep sales records; to be coded as a 1, state must adopt its own recordkeeping requirements or codify the federal law.","If record keeping and retention is required only for licensed dealers, and only for handgun sales, then code recordsall, recordsallh, and recordsdealer as 0 and recordsdealerh as 1.","Federal law requires licensed dealers to keep records of all sales. This provision codifies federal law into the state statutes, allowing state enforcement of the provision. Analysts may want to consider condensing the provisions in rows 4-11.","Coded by Michael Siegel, MD, MPH, Boston University School of Public Health, with funding from the Robert Wood Johnson Foundation, Evidence for Action: Investigator-Initiated Research to Build a Culture of Health program (grant #73337), using data derived from the Thomson Reuters Westlaw state legislative database."
recordsall,All private sellers and licensed dealers are required to keep and retain records of all firearm sales,"Both private sellers and licensed dealers are required to keep and retain records of all firearm sales. These records must include (1) the name and address of the buyer and (2) the make, model, and type of firearm.","Recordkeeping refers to the recording of sales information that includes, at a minimum, the purchaser's name, contact information or identifying information, and the make and model of the gun.","If all private sellers and licensed dealers are required to keep and retain records for all firearms, then code recordsall, recordsallh, recordsdealer, and recordsdealerh as a 1.","Federal law requires licensed dealers to keep records of all sales. This provision extends the requirement to all sales, including private sales.","Coded by Michael Siegel, MD, MPH, Boston University School of Public Health, with funding from the Robert Wood Johnson Foundation, Evidence for Action: Investigator-Initiated Research to Build a Culture of Health program (grant #73337), using data derived from the Thomson Reuters Westlaw state legislative database."
recordsallh,All private sellers and licensed dealers are required to keep and retain records of handgun sales,"Both private sellers and licensed dealers are required to keep and retain records of handgun sales. These records must include (1) the name and address of the buyer and (2) the make, model, and type of handgun.","Recordkeeping refers to the recording of sales information that includes, at a minimum, the purchaser's name, contact information or identifying information, and the make and model of the gun."," If only sales of handguns require record keeping and retention (by all sellers), then code recordsall as 0, recordsallh as 1, recordsdealer as 0, and recordsdealerh as 1.","Federal law requires licensed dealers to keep records of all sales. This provision extends the requirement to all sales, including private sales.","Coded by Michael Siegel, MD, MPH, Boston University School of Public Health, with funding from the Robert Wood Johnson Foundation, Evidence for Action: Investigator-Initiated Research to Build a Culture of Health program (grant #73337), using data derived from the Thomson Reuters Westlaw state legislative database."
reportdealer,Licensed dealers are required to report all firearm sales records to the state,Licensed dealers are required to report all firearm sales records to the state. Must include gun and sale information and must be transmitted electronically or by mail (not just phoned in).,"Reporting of sales records to the state means that the seller must transmit the sales record to state officials in some format (hard copy by mail, electronic, or by phone).","If reporting of sales records to the state is required only for licensed dealers, but for all firearm sales, then code reportall and reportallh as 0 and reportdealer and reportdealerh as 1.",,"Coded by Michael Siegel, MD, MPH, Boston University School of Public Health, with funding from the Robert Wood Johnson Foundation, Evidence for Action: Investigator-Initiated Research to Build a Culture of Health program (grant #73337), using data derived from the Thomson Reuters Westlaw state legislative database."
reportdealerh,Licensed dealers are required to report handgun sales records to the state,Licensed dealers are required to report handgun sales records to the state. Must include gun and sale information and must be transmitted electronically or by mail (not just phoned in).,"Reporting of sales records to the state means that the seller must transmit the sales record to state officials in some format (hard copy by mail, electronic, or by phone).","If reporting of sales records to the state is required only for licensed dealers, and only for handgun sales, then code reportall, reportallh, and reportdealer as 0 and reportdealerh as 1.",,"Coded by Michael Siegel, MD, MPH, Boston University School of Public Health, with funding from the Robert Wood Johnson Foundation, Evidence for Action: Investigator-Initiated Research to Build a Culture of Health program (grant #73337), using data derived from the Thomson Reuters Westlaw state legislative database."
reportall,All private sellers and licensed dealers are required to report all firearm sales records to the state,All private sellers and licensed dealers are required to report all firearm sales records to the state. Must include gun and sale information and must be transmitted electronically or by mail (not just phoned in).,"Reporting of sales records to the state means that the seller must transmit the sales record to state officials in some format (hard copy by mail, electronic, or by phone).","If all private sellers and licensed dealers are required to report sales records to the state for all firearms, then code reportall, reportallh, reportdealer, and reportdealerh as a 1. ",,"Coded by Michael Siegel, MD, MPH, Boston University School of Public Health, with funding from the Robert Wood Johnson Foundation, Evidence for Action: Investigator-Initiated Research to Build a Culture of Health program (grant #73337), using data derived from the Thomson Reuters Westlaw state legislative database."
reportallh,All private sellers and licensed dealers are required to report handgun sales records to the state,All private sellers and licensed dealers are required to report handgun sales records to the state. Must include gun and sale information and must be transmitted electronically or by mail (not just phoned in).,"Reporting of sales records to the state means that the seller must transmit the sales record to state officials in some format (hard copy by mail, electronic, or by phone).","If only sales of handguns require reporting of sales records to the state (by all sellers), then code reportall as 0, reportallh as 1, reportdealer as 0, and reportdealerh as 1.",,"Coded by Michael Siegel, MD, MPH, Boston University School of Public Health, with funding from the Robert Wood Johnson Foundation, Evidence for Action: Investigator-Initiated Research to Build a Culture of Health program (grant #73337), using data derived from the Thomson Reuters Westlaw state legislative database."
